stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\sxoli\4o etos\hy454\Games2022\CS454\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.03298] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03301] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03303] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03305] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03307] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03309] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03313] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03316] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03318] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03320] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03322] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03324] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03326] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03328] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03330] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03332] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03334] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03336] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03338] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03340] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03342] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03344] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03346] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03349] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03350] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03353] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03354] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03357] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03359] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03361] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03364] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03367] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03369] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03371] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03373] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03375] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03377] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03379] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03381] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03386] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03388] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03391] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03393] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03395] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03397] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03399] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03401] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03403] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03405] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03407] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03409] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03411] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03413] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03415] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03417] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03419] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03421] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03423] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03425] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03427] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03429] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03432] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03433] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03436] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03437] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03440] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03442] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03444] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03446] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03448] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03450] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03452] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03454] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03457] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03458] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03461] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03464] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03467] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03469] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03471] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03473] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03475] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03477] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03479] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03481] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03483] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03485] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03487] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03489] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03491] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03493] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03496] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03497] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03500] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.03501] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03504] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.03506] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03508] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.03510] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03512] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.03514] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03516] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.03518] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03520] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03522] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03525] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03527] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03529] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03531] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03533] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03535] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03537] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03539] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03541] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03543] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03546] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03547] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03550] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03552] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03554] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03556] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03559] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03561] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03565] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03568] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03570] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03572] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03574] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03576] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03579] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03581] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03583] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03585] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03587] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03590] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03592] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03594] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03596] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03598] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03602] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03603] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03606] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03608] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03610] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03612] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03614] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03616] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03618] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03620] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03622] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03624] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03627] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03628] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03631] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03633] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03635] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03637] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03639] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03641] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03643] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03645] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03647] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03649] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03652] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03654] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03656] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03658] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03664] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03669] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03673] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03675] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03678] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03680] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03682] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03684] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03686] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03688] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03691] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03693] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03695] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03697] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03699] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03701] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03704] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03706] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03708] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03710] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03712] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03714] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03717] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03718] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03721] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03723] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03725] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03728] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03730] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03732] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
